cpu,hardware,bench_env,os_type,os_release,os_version,blender_version,test_type,mp_type,core_num,cpu_rating,core_rating,avg_time,med_time,min_time,max_time,bench_hash
AMD Ryzen 7 4700U with Radeon Graphics,Mac Book Pro 2018 32GRam,bare,Win,10,10.0.19044,3.5.1,empty_play,mp,6,1.1112573098055563,0.18520955163425937,5.399491945902507,5.407998204231262,5.344980239868164,5.436994791030884,2effd2a659bb4843
AMD Ryzen 7 4700U with Radeon Graphics,Mac Book Pro 2018 32GRam,bare,Win,10,10.0.19044,3.5.1,empty_play,mp,7,1.2316490388012484,0.17594986268589263,5.683567183358329,5.686996221542358,5.643992185592651,5.719995975494385,2effd2a659bb4843
AMD Ryzen 7 4700U with Radeon Graphics,Mac Book Pro 2018 32GRam,bare,Win,10,10.0.19044,3.5.1,empty_play,mp,8,1.2953773723147681,0.16192217153934602,6.1774948835372925,6.142994523048401,6.033994674682617,6.317996263504028,2effd2a659bb4843
AMD Ryzen 7 4700U with Radeon Graphics,Mac Book Pro 2018 32GRam,bare,Win,10,10.0.19044,3.5.1,empty_play,th,1,0.21565619387413182,0.21565619387413182,4.637010335922241,4.637010335922241,4.637010335922241,4.637010335922241,2effd2a659bb4843
AMD Ryzen 7 4700U with Radeon Graphics,Mac Book Pro 2018 32GRam,bare,Win,10,10.0.19044,3.5.1,empty_play,th,2,0.21654404643061737,0.10827202321530868,4.617998123168945,4.617998123168945,4.617998123168945,4.617998123168945,2effd2a659bb4843
AMD Ryzen 7 4700U with Radeon Graphics,Mac Book Pro 2018 32GRam,bare,Win,10,10.0.19044,3.5.1,empty_play,th,3,0.21570302982677947,0.07190100994225983,4.636003494262695,4.636003494262695,4.636003494262695,4.636003494262695,2effd2a659bb4843
AMD Ryzen 7 4700U with Radeon Graphics,Mac Book Pro 2018 32GRam,bare,Win,10,10.0.19044,3.5.1,empty_play,th,4,0.216872300377286,0.0542180750943215,4.611008405685425,4.611008405685425,4.611008405685425,4.611008405685425,2effd2a659bb4843
AMD Ryzen 7 4700U with Radeon Graphics,Mac Book Pro 2018 32GRam,bare,Win,10,10.0.19044,3.5.1,empty_play,th,5,0.2175336982939157,0.04350673965878314,4.596988916397095,4.596988916397095,4.596988916397095,4.596988916397095,2effd2a659bb4843
AMD Ryzen 7 4700U with Radeon Graphics,Mac Book Pro 2018 32GRam,bare,Win,10,10.0.19044,3.5.1,empty_play,th,6,0.2175242667969436,0.036254044466157265,4.597188234329224,4.597188234329224,4.597188234329224,4.597188234329224,2effd2a659bb4843
AMD Ryzen 7 4700U with Radeon Graphics,Mac Book Pro 2018 32GRam,bare,Win,10,10.0.19044,3.5.1,empty_play,th,7,0.21372020987291346,0.03053145855327335,4.679014682769775,4.679014682769775,4.679014682769775,4.679014682769775,2effd2a659bb4843
AMD Ryzen 7 4700U with Radeon Graphics,Mac Book Pro 2018 32GRam,bare,Win,10,10.0.19044,3.5.1,empty_play,th,8,0.210527171722257,0.026315896465282124,4.749980688095093,4.749980688095093,4.749980688095093,4.749980688095093,2effd2a659bb4843
