cpu,hardware,bench_env,os_type,os_release,os_version,blender_version,bench_verion,bench_hash,test_type,mp_type,core_num,cpu_rating,core_rating,avg_time,med_time,min_time,max_time
AMD Ryzen 7 4700U with Radeon Graphics,standart,bare,Win,10,10.0.19044,4.0.2,1_0_1,b0e4085a6af1497c,empty_play,mp,3,1.456090375,0.485363458,2.060323397,2.060969114,2.054008961,2.065992117
AMD Ryzen 7 4700U with Radeon Graphics,standart,bare,Win,10,10.0.19044,4.0.2,1_0_1,b0e4085a6af1497c,empty_play,mp,4,1.790763497,0.447690874,2.233727098,2.231975079,2.221980095,2.248978138
AMD Ryzen 7 4700U with Radeon Graphics,standart,bare,Win,10,10.0.19044,4.0.2,1_0_1,b0e4085a6af1497c,empty_play,mp,5,2.247427704,0.449485541,2.224782038,2.223971128,2.217992067,2.233971119
AMD Ryzen 7 4700U with Radeon Graphics,standart,bare,Win,10,10.0.19044,4.0.2,1_0_1,b0e4085a6af1497c,empty_play,mp,6,2.575926336,0.429321056,2.329319477,2.33398664,2.304987669,2.339989185
AMD Ryzen 7 4700U with Radeon Graphics,standart,bare,Win,10,10.0.19044,4.0.2,1_0_1,b0e4085a6af1497c,empty_play,mp,7,2.776431749,0.396633107,2.52140866,2.515971184,2.490977049,2.560983896
AMD Ryzen 7 4700U with Radeon Graphics,standart,bare,Win,10,10.0.19044,4.0.2,1_0_1,b0e4085a6af1497c,empty_play,mp,8,3.206592112,0.400824014,2.494996697,2.492996216,2.473995209,2.533995628
AMD Ryzen 7 4700U with Radeon Graphics,standart,bare,Win,10,10.0.19044,4.0.2,1_0_1,b0e4085a6af1497c,empty_play,mp,9,3.208876647,0.35654185,2.825436672,2.845990181,2.492990017,3.099006414
AMD Ryzen 7 4700U with Radeon Graphics,standart,bare,Win,10,10.0.19044,4.0.2,1_0_1,b0e4085a6af1497c,empty_play,th,1,0.475514102,0.475514102,2.102987051,2.102987051,2.102987051,2.102987051
AMD Ryzen 7 4700U with Radeon Graphics,standart,bare,Win,10,10.0.19044,4.0.2,1_0_1,b0e4085a6af1497c,empty_play,th,2,0.489475465,0.244737732,2.043003321,2.043003321,2.043003321,2.043003321
AMD Ryzen 7 4700U with Radeon Graphics,standart,bare,Win,10,10.0.19044,4.0.2,1_0_1,b0e4085a6af1497c,empty_play,th,3,0.490430574,0.163476858,2.039024591,2.039024591,2.039024591,2.039024591
AMD Ryzen 7 4700U with Radeon Graphics,standart,bare,Win,10,10.0.19044,4.0.2,1_0_1,b0e4085a6af1497c,empty_play,th,4,0.488999133,0.122249783,2.044993401,2.044993401,2.044993401,2.044993401
AMD Ryzen 7 4700U with Radeon Graphics,standart,bare,Win,10,10.0.19044,4.0.2,1_0_1,b0e4085a6af1497c,empty_play,th,5,0.487327159,0.097465432,2.052009583,2.052009583,2.052009583,2.052009583
AMD Ryzen 7 4700U with Radeon Graphics,standart,bare,Win,10,10.0.19044,4.0.2,1_0_1,b0e4085a6af1497c,empty_play,th,6,0.495540342,0.082590057,2.017999172,2.017999172,2.017999172,2.017999172
AMD Ryzen 7 4700U with Radeon Graphics,standart,bare,Win,10,10.0.19044,4.0.2,1_0_1,b0e4085a6af1497c,empty_play,th,7,0.493336558,0.070476651,2.027013779,2.027013779,2.027013779,2.027013779
AMD Ryzen 7 4700U with Radeon Graphics,standart,bare,Win,10,10.0.19044,4.0.2,1_0_1,b0e4085a6af1497c,empty_play,th,8,0.493578589,0.061697324,2.026019812,2.026019812,2.026019812,2.026019812
AMD Ryzen 7 4700U with Radeon Graphics,standart,bare,Win,10,10.0.19044,4.0.2,1_0_1,b0e4085a6af1497c,empty_play,th,9,0.491642046,0.054626894,2.034000158,2.034000158,2.034000158,2.034000158
