cpu,hardware,bench_env,os_type,os_release,os_version,blender_version,test_type,mp_type,core_num,cpu_rating,core_rating,avg_time,med_time,min_time,max_time,bench_hash
AMD Ryzen 7 4700U with Radeon Graphics,"Redmi Book 14 Ryzen II, 16Gb Ram",vm virtual box on Win10 host,Lnx,6.5.0-15-generic,#15~22.04.1-Ubuntu SMP PREEMPT_DYNAMIC Fri Jan 12 18:54:30 UTC 2,4.0.2,particle_collision,th,1,0.18718684235248334,0.18718684235248334,5.3422558307647705,5.3422558307647705,5.3422558307647705,5.3422558307647705,2c44984fa44c4cc1
AMD Ryzen 7 4700U with Radeon Graphics,"Redmi Book 14 Ryzen II, 16Gb Ram",vm virtual box on Win10 host,Lnx,6.5.0-15-generic,#15~22.04.1-Ubuntu SMP PREEMPT_DYNAMIC Fri Jan 12 18:54:30 UTC 2,4.0.2,particle_collision,th,2,0.1811406281850627,0.09057031409253136,5.520572662353516,5.520572662353516,5.520572662353516,5.520572662353516,2c44984fa44c4cc1
AMD Ryzen 7 4700U with Radeon Graphics,"Redmi Book 14 Ryzen II, 16Gb Ram",vm virtual box on Win10 host,Lnx,6.5.0-15-generic,#15~22.04.1-Ubuntu SMP PREEMPT_DYNAMIC Fri Jan 12 18:54:30 UTC 2,4.0.2,particle_collision,th,3,0.1892066042303061,0.0630688680767687,5.2852277755737305,5.2852277755737305,5.2852277755737305,5.2852277755737305,2c44984fa44c4cc1
AMD Ryzen 7 4700U with Radeon Graphics,"Redmi Book 14 Ryzen II, 16Gb Ram",vm virtual box on Win10 host,Lnx,6.5.0-15-generic,#15~22.04.1-Ubuntu SMP PREEMPT_DYNAMIC Fri Jan 12 18:54:30 UTC 2,4.0.2,particle_collision,th,4,0.18143860173838805,0.04535965043459701,5.5115063190460205,5.5115063190460205,5.5115063190460205,5.5115063190460205,2c44984fa44c4cc1
AMD Ryzen 7 4700U with Radeon Graphics,"Redmi Book 14 Ryzen II, 16Gb Ram",vm virtual box on Win10 host,Lnx,6.5.0-15-generic,#15~22.04.1-Ubuntu SMP PREEMPT_DYNAMIC Fri Jan 12 18:54:30 UTC 2,4.0.2,particle_collision,th,5,0.17209750730274065,0.03441950146054813,5.810659408569336,5.810659408569336,5.810659408569336,5.810659408569336,2c44984fa44c4cc1
AMD Ryzen 7 4700U with Radeon Graphics,"Redmi Book 14 Ryzen II, 16Gb Ram",vm virtual box on Win10 host,Lnx,6.5.0-15-generic,#15~22.04.1-Ubuntu SMP PREEMPT_DYNAMIC Fri Jan 12 18:54:30 UTC 2,4.0.2,particle_collision,th,6,0.18410091721172728,0.030683486201954546,5.431803464889526,5.431803464889526,5.431803464889526,5.431803464889526,2c44984fa44c4cc1
AMD Ryzen 7 4700U with Radeon Graphics,"Redmi Book 14 Ryzen II, 16Gb Ram",vm virtual box on Win10 host,Lnx,6.5.0-15-generic,#15~22.04.1-Ubuntu SMP PREEMPT_DYNAMIC Fri Jan 12 18:54:30 UTC 2,4.0.2,particle_collision,th,7,0.17311899557645746,0.024731285082351066,5.776373624801636,5.776373624801636,5.776373624801636,5.776373624801636,2c44984fa44c4cc1
AMD Ryzen 7 4700U with Radeon Graphics,"Redmi Book 14 Ryzen II, 16Gb Ram",vm virtual box on Win10 host,Lnx,6.5.0-15-generic,#15~22.04.1-Ubuntu SMP PREEMPT_DYNAMIC Fri Jan 12 18:54:30 UTC 2,4.0.2,particle_collision,th,8,0.16984187345089746,0.021230234181362183,5.887829542160034,5.887829542160034,5.887829542160034,5.887829542160034,2c44984fa44c4cc1
AMD Ryzen 7 4700U with Radeon Graphics,"Redmi Book 14 Ryzen II, 16Gb Ram",vm virtual box on Win10 host,Lnx,6.5.0-15-generic,#15~22.04.1-Ubuntu SMP PREEMPT_DYNAMIC Fri Jan 12 18:54:30 UTC 2,4.0.2,empty_play,mp,1,0.2667472574213197,0.2667472574213197,3.7488670349121094,3.7488670349121094,3.7488670349121094,3.7488670349121094,2c44984fa44c4cc1
AMD Ryzen 7 4700U with Radeon Graphics,"Redmi Book 14 Ryzen II, 16Gb Ram",vm virtual box on Win10 host,Lnx,6.5.0-15-generic,#15~22.04.1-Ubuntu SMP PREEMPT_DYNAMIC Fri Jan 12 18:54:30 UTC 2,4.0.2,empty_play,mp,2,0.3864833746813232,0.1932416873406616,5.176119804382324,5.176119804382324,5.095587253570557,5.256652355194092,2c44984fa44c4cc1
